"","imdb_score","director_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","gross","budget"
"675",6.3,368,29808,3,54758461,6.5e+07
"676",5.9,687,19764,0,52397389,6.5e+07
"680",6.4,545,28643,4,36064910,4.5e+07
"681",6.7,212,1531,2,33328051,6.5e+07
"682",6.2,138,1013,1,32598931,6.5e+07
"683",6.1,4000,32232,0,28045540,6.5e+07
"684",8.8,21000,13209,2,37023395,6.3e+07
"685",7.1,368,12088,0,43532294,6.5e+07
"687",5.7,36,15944,0,17218080,7e+07
"692",6.5,436,49433,3,13750556,6.5e+07
"693",5.1,521,16710,1,31054924,6.4e+07
"696",6.2,116,2725,2,213079163,6.3e+07
"698",8.1,14000,2129,0,356784000,6.3e+07
"699",6.6,759,5708,0,25052000,6.3e+07
"700",6.9,176,14178,1,122012710,6.2e+07
"702",4.3,322,6334,1,58255287,6.4e+07
"704",6.8,0,2668,0,65000000,6.2e+07
"705",3.8,12,6658,6,32178777,6.2e+07
"706",5.9,11,14536,2,15738632,4.2e+07
"707",7.9,16000,49912,1,54116191,4.4e+07
"708",6.3,8,13232,2,118153533,6.1e+07
"709",5.5,25,2558,0,108012170,6.3e+07
"710",7.7,0,32360,0,210592590,6.5e+07
"711",6.3,116,24938,6,279167575,8e+07
"712",7.1,64,4811,0,143151473,6e+07
"713",8.5,0,17716,0,136801374,6e+07
"715",5.8,10,2252,0,135381507,1.5e+08
"716",8.1,21000,4348,0,167735396,6.1e+07
"717",7.9,218,13249,1,121468960,6e+07
"719",6.3,165,2321,0,102678089,9.5e+07
"720",8.1,608,3698,1,125603360,6e+07
"721",7,59,1195,2,101217900,7e+07
"722",5.5,41,4050,1,104148781,6e+07
"723",6.7,175,20148,1,75573300,6.1e+07
"724",5.2,6,4171,0,93375151,6e+07
"725",7,473,35084,6,106126012,6e+07
"726",6.1,30,2636,2,93307796,6e+07
"727",6.6,35,25788,0,90646554,1.05e+08
"728",5.5,0,8172,6,109176215,6e+07
"729",5.9,12000,14006,0,82670733,6e+07
"730",5.4,163,20348,6,82569532,6e+07
"731",6.4,47,2517,0,81687587,6.1e+07
"732",5.7,708,20440,1,80574010,6e+07
"733",6.7,420,16646,1,75764085,6e+07
"734",7.1,124,24928,4,90356857,5.8e+07
"735",6.8,0,20761,5,75530832,5.5e+07
"736",6.5,0,20683,0,75370763,6e+07
"737",7.6,0,13581,0,100003492,6.5e+07
"738",5.5,55,14611,4,90341670,6e+07
"739",6.5,13,4496,2,74540762,5.5e+07
"740",7,188,16385,2,80033643,6e+07
"741",5.8,212,3697,1,73648142,6e+07
"742",7.3,197,679,0,71844424,6e+07
"743",6.6,0,13634,4,75638743,6e+07
"744",4.4,18,1233,0,66734992,6e+07
"745",7.7,253,647,1,75280058,6e+07
"746",5,0,13654,0,64505912,4.8e+07
"747",7.7,12000,20454,2,77862546,7e+07
"748",4.4,48,24664,0,61112916,5e+07
"749",6.1,480,3943,5,88200225,6e+07
"750",5.4,32,4530,1,60573641,6e+07
"751",6.8,0,1112,1,59035104,6.6e+07
"752",6.5,234,4713,1,56702901,6e+07
"753",7,28,13597,0,55994557,6e+07
"754",6.3,105,38227,0,54910560,6e+07
"755",6.3,610,3637,0,53789313,6e+07
"756",6.1,50,3653,2,51045801,6e+07
"759",5.3,11,2018,2,50189179,6e+07
"760",5.4,14,2318,1,50024083,6e+07
"761",6.2,0,1411,3,50549107,6e+07
"762",6.6,737,75793,3,56443482,6e+07
"764",6.3,0,3090,0,47748610,7.5e+07
"765",7.2,845,1640,0,46975183,6.1e+07
"766",6.8,7,3151,3,50807639,6e+07
"767",6.1,165,4294,1,46611204,4.8e+07
"769",5,11,4305,2,48472213,4.5e+07
"770",6.2,38,53024,0,43060566,6e+07
"771",6.7,181,34738,3,45996718,6e+07
"772",4.9,11000,12258,2,43337279,6e+07
"773",7.4,16000,24458,1,37479778,6e+07
"775",6.2,209,10623,0,40559930,6e+07
"776",4.9,80,2151,2,36830057,6.5e+07
"777",6.1,69,1352,0,36279230,6e+07
"779",6.4,53,31224,0,43119879,6e+07
"780",6.3,0,1395,1,35096190,6e+07
"784",5.9,11000,22889,1,32122249,6e+07
"785",6,50,38809,2,40076438,6e+07
"786",6.1,17,16536,1,32940507,6e+07
"788",6.7,0,34774,3,30695227,6e+07
"789",7.9,488,36897,1,32522352,6e+07
"791",4.3,93,993,2,26082914,8.7e+07
"792",5.7,124,1417,0,29136626,6e+07
"793",6.7,0,11301,0,26288320,6e+07
"795",8.1,0,87697,3,623279547,2.2e+08
"796",6.1,293,2109,0,30063805,6e+07
"799",6.9,37,3012,3,18208078,6e+07
"800",4.8,394,1262,0,14218868,6.5e+07
"801",6.2,167,22447,0,22451,6e+07
"802",6,91,10247,3,31165421,6e+07
"803",4.9,48,1865,1,11802056,6e+07
"804",5.6,179,1467,2,25472967,3e+07
"805",6.1,2000,15275,0,22362500,5.5e+07
"807",4.8,436,20881,1,19781879,6e+07
"810",6.5,258,12947,2,4426297,3.5e+07
"812",6.7,131,12133,0,10166502,8e+07
"813",8.1,84,18239,0,363024263,5.8e+07
"814",4.9,65,2367,1,12065985,6e+07
"815",7.3,16000,16277,0,350123553,58800000
"816",6.4,11,5497,4,80021740,5.8e+07
"818",6.7,70,2876,1,48291624,5.8e+07
"819",3.6,32,6299,0,35231365,6e+07
"820",5.7,10,14574,1,53715611,6.3e+07
"821",6,0,589,8,31199215,5.8e+07
"823",4.7,30,3150,2,29580087,5.8e+07
"824",6.3,189,5081,2,44665963,5.8e+07
"826",5.9,143,4416,0,49875589,5.8e+07
"828",7.5,138,45271,2,60984028,5.7e+07
"829",5.6,51,16484,2,36931089,7e+07
"830",6.4,357,2710,0,51317350,5.7e+07
"831",6.3,420,9814,2,28328132,5.8e+07
"832",4.3,83,16121,1,51774002,5.7e+07
"836",6.2,10,14146,1,45860039,5.6e+07
"837",8.8,0,15700,0,329691196,5.5e+07
"838",5.2,25,2847,0,217326336,6e+07
"839",7,116,24286,2,166225040,5.5e+07
"840",6.6,12,26754,1,141600000,5.5e+07
"841",7.3,503,12940,0,134218018,5.5e+07
"842",5.6,293,3155,1,128769345,5.4e+07
"843",6.6,72,13426,1,177575142,7e+07
"844",5.4,39,4518,0,105263257,5.5e+07
"845",6.3,58,5713,3,104354205,5.5e+07
"846",7.9,521,16281,0,107100855,5.5e+07
"847",6.3,189,39822,2,98711404,5.5e+07
"848",6,52,2638,0,100328194,5e+07
"849",7.2,845,37605,0,101530738,5.5e+07
"850",5.1,61,7184,2,93815117,5.5e+07
"851",7.3,12000,30132,0,91400000,5.3e+07
"852",8,125,11036,0,162586036,5.5e+07
"853",6.2,124,2287,1,89706988,5.5e+07
"854",6,272,3888,0,83000000,5.5e+07
"856",8.1,16000,3983,0,70098138,3e+07
"857",6.4,0,22458,2,66365290,5.5e+07
"859",8,16000,1959,0,66207920,3e+07
"860",6.3,96,14432,1,63408614,5.5e+07
"861",6.4,0,25599,3,58422650,5.5e+07
"862",6.6,9,939,2,56932305,5.5e+07
"863",6.4,53,2916,0,68750000,5.5e+07
"864",6,70,2820,1,68218041,5.5e+07
"865",6.6,50,7247,0,25040293,5.5e+07
"866",5.9,39,3104,1,55747724,5.5e+07
"867",6.4,21000,1543,0,55473600,5e+07
"868",6.3,317,164,1,49994804,5.5e+07
"870",6.8,81,1752,0,38553833,5.5e+07
"872",5.7,82,2488,4,34350553,6.8e+07
"873",6,607,2248,1,34238611,5.5e+07
"874",6.5,226,13406,1,34098563,5.5e+07
"875",5.8,101,14036,2,33828318,5.5e+07
"876",5.8,3,10026,3,33472850,5.5e+07
"878",7.8,16000,12840,0,35707327,5.5e+07
"879",5.6,99,31014,1,20550712,5e+07
"880",5.8,12000,24618,3,18573791,5.5e+07
"883",5.5,45,10185,0,25857987,6.2e+07
"884",6.3,33,1671,0,12870569,5.6e+07
"885",4.7,0,3952,0,11466088,7.1e+07
"886",5.6,11,3742,2,16088610,5.5e+07
"887",6.4,33,6089,4,51178893,5e+07
"889",6.4,59,4315,1,39440655,5.5e+07
"893",6.7,0,15371,1,81645152,5.4e+07
"894",7.7,125,14727,1,69951824,5.5e+07
"895",5.7,394,25418,3,9483821,5.5e+07
"896",7.6,0,16949,1,66676062,5.4e+07
"897",6.4,488,12700,0,26838389,5.7e+07
"898",5.6,94,847,1,75604320,5.4e+07
"899",6.8,44,2908,4,108200000,5.4e+07
"900",2.4,102,286,0,5660084,5.4e+07
"903",7.1,383,6017,1,58297830,5e+07
"904",7.6,1000,2601,1,57386369,52500000
"905",5.5,17,13390,1,45207112,5.3e+07
"906",7,108,63769,7,62563543,5.3e+07
"907",7.1,16000,24468,0,33574332,9e+07
"908",7.4,473,22517,0,73343413,5e+07
"909",7.6,0,22186,0,25031037,5.3e+07
"910",5.9,438,2397,1,22843047,5.5e+07
"911",5.9,161,26334,1,5755286,5.5e+07
"912",8,14000,48153,0,164435221,5.2e+07
"913",7.4,0,2759,0,95720716,4e+07
"914",5.8,235,8315,1,118683135,5.2e+07
"915",6.3,58,26002,1,143704210,5.2e+07
"916",5.7,0,45696,12,110476776,5.2e+07
"917",5.1,422,2297,5,80270227,5e+07
"918",7.6,0,1937,0,36385763,5.2e+07
"919",6.4,71,28045,2,37035845,5.2e+07
"921",8.2,17000,24183,2,42438300,5.2e+07
"923",5.5,13,2422,3,23020488,5.2e+07
"924",6.5,101,1711,1,90567722,5.1e+07
"927",4.6,129,64040,2,296623634,5e+07
"928",7.9,80,275,1,267652016,6e+07
"929",7.1,53,14607,2,62453315,50200000
"930",6.9,58,38518,0,165500000,4.8e+07
"931",7.3,488,12182,0,153620822,5e+07
"932",7,3000,21773,1,218628680,5e+07
"933",7.7,274,1474,0,147637474,5e+07
"934",6.7,293,74382,1,135014968,5e+07
"935",6.3,285,28176,2,2175312,5e+07
"936",5.8,65,26826,1,126203320,5e+07
"937",7.1,14000,3388,0,126975169,5e+07
"938",7.3,0,10003,0,125548685,5.2e+07
"939",6.4,80,14087,2,105807520,5e+07
"940",7.1,97,19428,2,191616238,5e+07
"941",7.6,277,25697,0,105264608,6e+07
"942",6.8,235,29505,1,97680195,7e+07
"943",6.6,43,14569,2,126088877,5e+07
"944",6.7,0,9988,2,91030827,5e+07
"945",6.1,51,10886,2,150315155,5e+07
"946",6,252,62837,1,127997349,5e+07
"947",7.6,0,19148,2,88504640,4.5e+07
"948",7.1,241,3148,1,81517441,5e+07
"949",5,155,1761,0,81022333,5e+07
"951",6.2,295,13421,0,79948113,5e+07
"952",5.6,9,37967,2,88658172,5e+07
"954",7.4,43,57426,7,84244877,5e+07
"955",5,12,13430,0,75367693,3.5e+07
"956",5.2,148,6729,1,73701902,6e+07
"957",7.6,152,53094,1,75605492,5e+07
"958",6.6,249,30383,3,67823573,5e+07
"960",5.7,99,14007,3,67128202,6.5e+07
"961",8.2,160,22417,1,70496802,5.4e+07
"962",6.2,71,428,2,60470220,5e+07
"964",6.6,5,11124,0,58336565,5e+07
"965",4.7,23,2177,1,66002004,5e+07
"966",6.3,39,3341,0,54997476,5e+07
"968",6.7,213,2583,0,52752475,5e+07
"969",6.1,154,15608,1,55092830,6e+07
"970",7,79,14747,0,50815288,5e+07
"971",7.4,0,3580,0,52822418,5e+07
"972",7.3,34,19513,1,50150619,5e+07
"973",5.8,12,101383,1,48745150,5e+07
"974",6.7,16000,19139,0,50007168,5e+07
"975",5.8,0,15569,1,48154732,5e+07
"976",7.8,21000,1397,1,48265581,5e+07
"978",6.5,41,24024,1,44737059,5e+07
"979",6.7,22,8398,7,56724080,5e+07
"981",5.8,77,1367,0,47553512,5e+07
"982",5.5,644,1093,1,42610000,5.5e+07
"983",6.3,287,19610,0,41482207,5e+07
"984",7.4,71,30183,1,47105085,5e+07
"985",5.9,75,1289,2,41256277,5e+07
"988",6.5,73,19739,3,40905277,5e+07
"989",4.4,0,1860,1,38590500,5e+07
"990",3.5,0,14899,1,39177541,5e+07
"991",6.6,0,29461,0,39778599,5e+07
"992",6,0,2052,1,37486138,5e+07
"993",6.4,160,701,0,38105077,4e+07
"994",6.5,0,25469,0,35168395,5e+07
"996",4.3,31,3016,1,32800000,4e+07
"997",4.2,9,20061,0,33643461,5e+07
"998",6.5,16000,14344,0,32741596,5e+07
"999",6.1,58,34606,0,31874869,5e+07
"1002",5.9,0,14706,1,27067160,5e+07
"1003",5.9,487,1300,3,26616999,4e+07
"1005",6.4,16000,18635,1,26199517,5e+07
"1006",6.5,670,7654,0,25450527,5e+07
"1007",5.7,0,15935,0,25407250,5e+07
"1009",8,663,16358,1,23159305,7e+07
"1010",7.3,0,15757,8,24006726,5e+07
"1011",6.7,378,12786,1,20389967,5e+07
"1012",7.5,317,32637,0,19593740,5e+07
"1013",5.4,65,6171,5,19118247,4e+07
"1014",6.6,174,16992,2,26442251,5e+07
"1015",7.7,0,17211,1,17114882,2.5e+07
"1016",5.8,134,25049,3,18472363,5e+07
"1018",5.6,234,45202,3,21557240,49900000
"1019",6,260,8018,0,21283440,5.5e+07
"1020",6.2,333,2606,2,10556196,5e+07
"1021",5.9,32,2949,1,16671505,5e+07
"1022",5.1,596,15820,1,10400000,5e+07
"1023",6.8,218,10191,2,9528092,2.2e+07
"1026",5.1,607,5461,0,9795017,5e+07
"1027",5.8,83,29926,1,20488579,5e+07
"1028",6.2,98,3580,7,19445217,6e+07
"1030",4.8,0,24107,4,28837115,5e+07
"1031",4.9,5,11972,5,6471394,5e+07
"1032",5.6,0,3954,0,6291602,5e+07
"1033",5.5,71,16481,1,10706786,5e+07
"1035",5.9,70,32831,1,43905746,4.9e+07
"1037",6.3,212,2795,5,21413502,4e+07
"1039",7.6,0,1418,0,124107476,4.8e+07
"1040",8.3,14000,12884,5,197171806,4.8e+07
"1042",6.9,662,23051,0,31569268,4.9e+07
"1043",6.7,176,29748,2,66488090,4.8e+07
"1044",6.8,21000,18141,0,95308367,4.8e+07
"1046",7.1,737,3743,1,60652036,4.8e+07
"1049",7.4,34,33615,1,50173190,4.8e+07
"1050",6.4,446,22209,1,47095453,4.8e+07
"1051",6,11000,5390,2,37879996,4.8e+07
"1052",6.5,0,18793,1,25900000,5.8e+07
"1053",7.8,446,33548,1,53574088,5.5e+07
"1055",7,0,3768,1,37339525,4.8e+07
"1056",6,0,3718,1,60154431,4.7e+07
"1058",6.1,631,2096,1,103738726,1e+08
"1059",6.8,323,4660,0,69304264,4.8e+07
"1060",6.4,545,4796,1,29781453,4.8e+07
"1063",4.5,0,6863,3,15519841,4.7e+07
"1064",5.8,350,8349,1,5600000,4.7e+07
"1065",6.3,29,12344,1,126805112,4.6e+07
"1066",5.7,148,9176,4,93607673,4.8e+07
"1067",7.2,22000,15658,0,67263182,4.6e+07
"1068",7.6,906,6315,2,92001027,4.5e+07
"1069",4.7,39,14619,1,10539414,4.7e+07
"1070",6.6,380,33233,1,58918501,4.6e+07
"1071",6.8,293,2070,1,181395380,4.5e+07
"1074",4.8,32,3244,2,130512915,4.5e+07
"1076",5.5,119,3629,7,110000082,4.8e+07
"1077",6.2,80,1574,1,106807667,4.5e+07
"1078",5.8,40,17925,0,101702060,4.5e+07
"1079",5.7,0,15362,2,95149435,4e+07
"1080",6.5,79,30063,0,100768056,4.5e+07
"1081",6.7,541,4043,3,92115211,4.5e+07
"1082",7.4,0,14868,1,93452056,4.5e+07
"1083",6.9,176,12757,1,83287363,4.5e+07
"1085",8.1,777,37321,2,60962878,4.6e+07
"1086",7.7,845,22370,2,76261036,4.5e+07
"1087",7.3,23,26998,3,71423726,4.5e+07
"1088",5.2,322,1645,7,71277420,4.5e+07
"1089",7.1,33,1336,3,88625922,4.5e+07
"1090",7.1,45,3174,1,70001065,4.5e+07
"1091",7.2,49,20299,0,67253092,3e+07
"1092",6.5,50,758,0,66790248,4.5e+07
"1093",4.6,49,3717,0,65557989,4.5e+07
"1094",5.6,18,3106,5,60786269,4.5e+07
"1096",7.2,487,24205,0,162792677,1.2e+08
"1097",6.8,117,41636,1,31598308,3.5e+07
"1099",6.3,41,3648,0,53854588,4.5e+07
"1101",5.6,58,27351,1,52580895,4.5e+07
"1102",6.8,37,14073,0,51019112,5e+07
"1103",4.3,38,4604,1,48114556,2.6e+07
"1105",6.5,153,49743,0,46280507,4e+07
"1106",6.4,61,3757,1,38360195,4.5e+07
"1107",6.3,161,12161,1,46815748,4.5e+07
"1108",5.9,0,2965,1,35617599,4.5e+07
"1109",6.5,0,1948,4,47307550,4.5e+07
"1110",6.5,160,1102,1,32003620,2.5e+07
"1112",5.9,8,33822,1,28133159,5e+07
"1113",6.6,0,2449,3,27400000,4e+07
"1114",7.4,278,5405,0,24343673,4.5e+07
"1115",7.3,0,53895,0,22877808,3.5e+07
"1118",5.3,29,3855,1,20400913,4.5e+07
"1119",6,11000,2348,0,20101861,4.5e+07
"1120",5.4,13,3423,3,25200412,4.5e+07
"1121",6.8,0,793,0,19719930,4.5e+07
"1122",6.4,38,24351,3,19377727,4.5e+07
"1125",5.8,0,15006,2,15527125,5.7e+07
"1126",7.1,0,21130,0,13560960,5e+07
"1128",6,208,6558,0,11146409,4.5e+07
"1129",6,0,26982,0,7916887,4.5e+07
"1131",5.4,15,12166,1,15279680,4e+07
"1132",6.5,188,13917,2,7262288,4e+07
"1133",6.4,179,538,0,4584886,4.5e+07
"1135",4.9,170,2457,2,2154540,4.5e+07
"1136",6.3,32,661,1,8129455,4.5e+07
"1138",7.7,0,3133,1,136019448,44500000
"1139",7.8,99,13357,1,183875760,4.4e+07
"1140",5.5,72,21554,1,67061228,4e+07
"1141",7.5,272,37076,3,53300852,4.4e+07
"1142",6.4,170,15662,0,150415432,4.4e+07
"1143",5.6,13,26907,1,44834712,4.4e+07
"1144",7.5,3,1178,0,84300000,2600000
"1145",6.8,517,14255,0,1500000,4.4e+07
"1146",6.8,235,2998,1,62318875,5e+07
"1147",6,118,12876,2,5773519,4e+07
"1148",7.3,835,1801,1,51768623,4.3e+07
"1149",6,84,23864,1,37035515,4.3e+07
"1151",5.1,16,132,3,24430272,4.3e+07
"1152",6.8,521,14244,0,158348400,4.2e+07
"1153",6.5,23,1066,1,31136950,4.4e+07
"1154",6.6,165,27834,0,29113588,4e+07
"1155",7.2,97,19968,2,138447667,4.2e+07
"1158",5.9,29,24534,1,87856565,4.2e+07
"1159",5.4,71,3841,1,70100000,4e+07
"1160",6.6,176,4825,7,159578352,4.3e+07
"1162",6.5,153,6727,2,45290318,4.2e+07
"1163",6.3,73,15571,1,41543207,4.2e+07
"1164",6.5,0,13716,0,41252428,4.2e+07
"1165",6.5,89,1651,0,35228696,3.2e+07
"1166",5.8,119,2134,1,59992760,4.2e+07
"1168",5.4,308,15369,2,37652565,4.2e+07
"1169",6.1,17,33585,1,24375436,4.2e+07
"1171",7.6,487,12076,2,24127895,5e+07
"1173",5.3,30,3301,1,26404753,4e+07
"1174",6.6,133,12239,4,6105175,4.4e+07
"1178",7,161,1954,0,116724075,4.1e+07
"1180",6.9,241,18761,1,56083966,6.5e+07
"1182",8.1,0,17540,0,293501675,4e+07
"1183",6.6,20,362,6,18600911,4.2e+07
"1184",6.2,64,2085,0,7204138,4.1e+07
"1185",7.2,80,2004,0,90800000,8e+06
"1186",7.3,737,83012,5,150117807,4e+07
"1187",6.7,98,18656,1,163947053,4e+07
"1188",6.4,78,2129,0,116735231,7e+07
"1189",7.8,0,3660,0,118500000,4e+07
"1191",4.1,456,4585,0,166147885,4e+07
"1192",4.1,0,22935,3,111760631,3.8e+07
"1193",7.4,541,31349,3,108706165,4e+07
"1194",5.8,189,7014,15,138614544,4e+07
"1195",7.6,532,1261,0,125069696,4e+07
"1196",7.2,545,16751,3,107458785,4e+07
"1197",7.8,0,2676,0,102310175,4e+07
"1198",7.7,21000,10555,0,96917897,4e+07
"1199",6.4,42,318,7,93952276,4e+07
"1200",5.1,119,5855,8,90703745,4.5e+07
"1201",5.5,0,600,4,89138076,4e+07
"1202",7.4,0,3986,0,87666629,4e+07
"1203",6,164,12556,2,90353764,4e+07
"1204",7.5,0,42220,0,82522790,4e+07
"1205",7,0,13321,2,94125426,4e+07
"1206",7.5,241,16911,0,95001343,4e+07
"1207",7.3,333,36810,1,81292135,4e+07
"1208",5.7,101,16179,1,86208010,3.5e+07
"1209",7.3,155,24300,1,81593527,4e+07
"1210",7.2,278,36010,2,75274748,3.5e+07
"1211",5.9,167,5178,0,90835030,4e+07
"1212",7.8,0,2144,1,72455275,4e+07
"1213",7.7,138,5074,0,75305995,4e+07
"1214",8.1,436,3924,1,74098862,4e+07
"1215",6.6,38,6775,4,72266306,4e+07
"1216",7.1,29,28928,2,71347010,4e+07
"1217",5.9,101,2842,2,70836296,4e+07
"1219",4.6,14,19334,0,70163652,4e+07
"1220",6.1,563,43917,0,66808615,3.4e+07
"1221",7.2,11000,2938,0,115603980,6.5e+07
"1222",6.4,23,7009,1,64149837,2e+07
"1223",6,415,2357,2,83906114,4e+07
"1224",5.2,160,303717,0,66466372,4e+07
"1225",7.6,14000,16944,0,72306065,4e+07
"1226",6.4,212,2544,2,59068786,4e+07
"1228",6.1,23,2325,2,57887882,5e+07
"1229",6.1,287,8610,0,53955614,4e+07
"1230",5.2,20,7039,0,54967359,4e+07
"1232",7.3,65,13943,1,57981889,4e+07
"1234",8.5,22000,63986,1,53082743,4e+07
"1235",6.3,51,30571,7,54414716,4.2e+07
"1236",5.9,7,3361,2,57011847,4e+07
"1237",7.8,0,848,0,50859889,4e+07
"1239",6.4,190,4243,0,52000688,4e+07
"1240",5.9,425,2179,3,49851591,4e+07
"1241",6.6,192,41293,1,47781388,4e+07
"1242",6.8,18,18693,0,52320979,4e+07
"1243",6.5,34,1274,0,47806295,4.3e+07
"1244",6.6,54,9069,0,51853450,2.5e+07
"1245",5.8,10,4298,2,46012734,4e+07
"1246",6.9,16000,2281,1,47034272,4e+07
"1247",7.1,0,16762,1,45856732,4e+07
"1248",5.8,326,22318,1,59588068,4e+07
"1249",7.2,14000,37570,2,44175394,3.6e+07
"1250",6,323,519,2,45500797,4e+07
"1251",4.7,25,4324,0,41797066,4e+07
"1252",5.2,80,4634,1,38087756,4e+07
"1253",5.5,643,26938,2,37752931,4e+07
"1255",7,99,390,0,37371385,4e+07
"1256",5.8,98,1070,1,37101011,4e+07
"1257",6.2,0,4486,0,38176892,4e+07
"1259",7.2,0,3044,1,35183792,3.8e+07
"1260",5.1,52,1488,2,38543473,4e+07
"1262",5.9,77,3074,0,42575718,4e+07
"1264",7.2,75,23920,2,33508922,4e+07
"1265",6.2,101,1827,1,42071069,3e+07
"1267",5.7,65,3239,1,32853640,4e+07
"1268",6.1,3000,28927,3,42615685,4e+07
"1269",6,85,2711,0,32055248,2.5e+07
"1270",6.9,335,15595,1,31836745,4e+07
"1271",6.5,50,621,0,30993544,4e+07
"1272",5,260,3969,0,30981850,4e+07
"1273",5.7,18,3753,0,30199105,4e+07
"1274",7,0,5917,1,29077547,4e+07
"1275",5.1,55,4565,0,29374178,4e+07
"1276",5.3,39,1335,2,28535768,4e+07
"1277",4.4,287,10469,2,27663982,4e+07
"1280",6.7,7,29484,1,25178165,4e+07
"1281",5.7,81,960,0,25117498,4e+07
"1282",7.4,17000,23737,0,32645,5e+05
"1283",6.1,545,3126,1,24332324,4e+07
"1285",6.2,7,14275,0,22717758,4e+07
"1286",6.2,105,34377,1,22433915,6e+07
"1287",5.9,34,3821,1,22326247,6e+07
"1288",4,33,5039,0,21176322,4e+07
"1289",6.2,17,17877,2,20300000,4e+07
"1291",6.4,0,7243,1,15962471,4e+07
"1292",5.9,58,14008,3,14942422,4e+07
"1293",5.1,19,14463,1,14967182,4e+07
"1295",4.2,124,3374,2,14375181,5.1e+07
"1296",7.8,0,24770,0,20999103,4e+07
"1297",5.8,65,12566,2,14448589,4e+07
"1298",5.9,0,2125,2,14358033,4e+07
"1300",4.8,29,3974,1,14018364,3e+07
"1302",6.5,42,1702,3,20113965,4e+07
"1303",6.3,22,4327,1,13376506,4e+07
"1305",5.9,80,20503,3,13838130,4e+07
"1306",6,118,12876,2,5773519,4e+07
"1307",5.8,0,3096,0,9652000,4e+07
"1310",4.1,7,4024,0,10431220,2.4e+07
"1312",6.2,39,2664,4,6114237,4e+07
"1316",5.9,48,222,8,18438149,4e+07
"1317",4.4,0,2449,1,511920,4e+07
"1318",5.8,180,1686,0,10640645,4e+07
"1320",6.9,154,2288,0,80050171,2e+07
"1321",6.2,34,13821,1,7564000,2e+07
"1322",6.9,47,504,2,876671,2.5e+07
"1329",7.6,295,2630,0,50693162,2.3e+07
"1331",7.1,124,568,1,63411478,3.9e+07
"1333",6.7,357,45327,2,144512310,3.8e+07
"1334",7,13000,4774,0,35287788,3.9e+07
"1335",8,0,2853,0,25335935,4e+07
"1336",5.3,534,2972,2,5881504,3.9e+07
"1338",6.4,88,36009,1,29802761,4e+07
"1340",6.1,72,4251,1,127214072,3.8e+07
"1341",6.5,126,22436,2,88915214,3.8e+07
"1342",5.7,36,2176,2,30400000,3.9e+07
"1343",5.1,0,18291,1,85570368,3.8e+07
"1344",6.6,18,6427,0,75668868,3.5e+07
"1346",6.9,508,36062,1,58700247,3.8e+07
"1349",7.6,278,20516,0,50668906,3.8e+07
"1350",5.6,150,3770,1,39177215,3.8e+07
"1351",6.2,7,2912,3,40334024,3.5e+07
"1352",4.4,99,3552,1,71038190,3e+07
"1353",5.6,43,1440,0,24044532,3.8e+07
"1354",5.5,11,2765,1,22770864,3.8e+07
"1356",6.1,150,24547,0,17305211,3.8e+07
"1357",6.2,65,1265,0,16991902,5.7e+07
"1358",7.3,304,3277,0,47536959,1e+07
"1359",6.6,0,16237,4,10300000,3.8e+07
"1360",8.2,0,1757,0,13782838,1.5e+07
"1361",6.4,123,17551,0,41997790,3.8e+07
"1362",6.4,11,74,1,6482195,3.7e+07
"1363",5.2,49,2120,2,623374,3.8e+07
"1364",6.5,27,15494,0,7871693,5.5e+07
"1365",7.1,0,427,31,16377274,3.2e+07
"1367",7.3,39,5162,0,9589875,4e+07
"1368",5.2,5,19974,0,34912982,3.8e+07
"1369",7.7,0,15106,1,109712885,3.5e+07
"1370",7.6,0,14296,7,92173235,3.7e+07
"1371",5.7,52,13396,12,41102171,4e+07
"1372",7,1000,36093,0,60338891,3.7e+07
"1373",6,3,18178,3,48006503,3.7e+07
"1375",8,0,1906,1,22450975,3.7e+07
"1376",5.6,0,14483,2,44867349,3.7e+07
"1377",6.1,11,4882,4,46813366,3.8e+07
"1378",6.9,188,14209,5,72279690,3.7e+07
"1379",5.2,308,44060,1,191449475,3.7e+07
"1380",7,415,20970,1,71026631,3.6e+07
"1381",6.3,10,2986,1,68208190,6.5e+07
"1382",7,43,3425,4,150368971,3.7e+07
"1384",6.9,84,1874,0,50129186,3.6e+07
"1386",6.4,38,1272,8,50213619,3.6e+07
"1387",6.4,188,13904,0,42019483,3.6e+07
"1388",5.7,287,10838,0,23360779,3.4e+07
"1389",6.1,473,16611,0,26183197,3.6e+07
"1390",5.4,488,44037,1,20991497,3.7e+07
"1391",6.7,0,3968,0,13052741,3.6e+07
"1392",6.8,96,2393,1,14378353,3.6e+07
"1393",6,101,19904,1,33037754,3.7e+07
"1394",7.8,487,1942,2,12339633,3.6e+07
"1395",5.3,31,2928,0,2954405,3.6e+07
"1396",4.5,16,2268,0,30105968,3.7e+07
"1397",5.4,0,4537,1,37788228,35200000
"1398",7.8,480,17623,3,277313371,3.5e+07
"1400",6.6,116,47203,1,205399422,3.3e+07
"1401",7.6,13000,2725,0,251188924,3.5e+07
"1403",6.7,503,1446,2,144731527,3.5e+07
"1404",7.7,102,3389,0,255950375,2.9e+07
"1406",5.4,0,4499,0,112692062,3.5e+07
"1407",6.9,91,18669,5,117528646,3.5e+07
"1408",7.7,1000,25964,0,171031347,3.8e+07
